time,dir,entry,sl,tp,exit,result,R,risk_pips,bars_held,pair
2024-11-15 13:30:00,short,0.58653,0.5898126208401022,0.5799647583197955,0.5898126208401022,loss,-1.0,32.826208401022235,153,NZDUSD
2025-02-11 17:45:00,short,0.56521,0.5675697577185914,0.5604904845628171,0.5604904845628171,win,2.0,23.597577185914265,80,NZDUSD
2025-02-13 16:30:00,short,0.56486,0.5682559859955041,0.5580680280089919,0.5682559859955041,loss,-1.0,33.959859955040585,34,NZDUSD
2025-05-30 08:15:00,long,0.59581,0.5916387339719847,0.6041525320560304,0.6041525320560304,win,2.0,41.71266028015208,142,NZDUSD
2025-06-04 03:45:00,long,0.60015,0.5965579624092039,0.6073340751815921,0.6073340751815921,win,2.0,35.92037590796071,134,NZDUSD
2025-06-25 13:15:00,long,0.60173,0.5981318151870169,0.6089263696259662,0.60584,timeout,1.142242606652714,35.98184812983129,200,NZDUSD
2025-10-15 21:00:00,short,0.5716,0.5741894072583184,0.5664211854833633,0.5741894072583184,loss,-1.0,25.894072583183547,17,NZDUSD
2025-11-24 14:30:00,short,0.5602,0.5628952552350596,0.554809489529881,0.5628952552350596,loss,-1.0,26.952552350595347,136,NZDUSD
2026-01-16 15:45:00,short,0.57458,0.5767490261625573,0.5702419476748853,0.5767490261625573,loss,-1.0,21.690261625573193,37,NZDUSD
2026-01-19 01:15:00,short,0.57668,0.5787881129843208,0.5724637740313584,0.5787881129843208,loss,-1.0,21.08112984320787,48,NZDUSD
2026-02-12 16:30:00,long,0.60496,0.601567300509719,0.6117453989805622,0.601567300509719,loss,-1.0,33.926994902810925,58,NZDUSD
2026-02-13 15:15:00,long,0.60372,0.6002075535360014,0.6107448929279973,0.60323,timeout,-0.1395039056174446,35.12446463998619,200,NZDUSD
2026-05-12 05:45:00,long,0.59553,0.5928983160359313,0.6007933679281373,0.5928983160359313,loss,-1.0,26.31683964068654,107,NZDUSD
2026-06-26 08:45:00,short,0.56499,0.5675313424394743,0.5599073151210513,0.56623,timeout,-0.48793109529013373,25.413424394743476,200,NZDUSD
2023-11-17 12:45:00,long,0.87404,0.8719126133924906,0.8782947732150189,0.87305,timeout,-0.4653597030767494,21.273866075094404,200,EURGBP
2024-03-20 12:45:00,short,0.85413,0.855660598628644,0.8510688027427119,0.855660598628644,loss,-1.0,15.305986286440199,91,EURGBP
