pair,ts,date,dow,dow_idx,direction,trade_type,price,sl,tp,sl_dist,tp_dist,rr,win,bars_held,mfe,c_round,c_ema50,c_strong,choch_engulf,zone_lo,zone_hi,zone_visits,zone_touches,atr_d,td,th4
gold,2021-05-14 06:00:00,2021-05-14,Fri,4,long,day,1826.60999,1817.518192360947,1855.44995,9.091797639052857,28.83996000000002,3.17,1,126,28.849969999999985,1,0,1,0,1819.28003,1831.44995,9,47,22.022970488161008,bull,bull
gold,2021-05-18 06:00:00,2021-05-18,Tue,1,long,day,1866.81006,1856.6497858245336,1896.19995,10.160274175466384,29.389889999999923,2.89,0,145,8.229978999999958,1,0,1,0,1858.21997,1862.51001,8,34,19.62730219333029,bull,bull
gold,2021-05-19 11:00:00,2021-05-19,Wed,2,long,day,1867.82996,1856.6263963119293,1896.19995,11.203563688070744,28.369989999999916,2.53,0,37,6.160030000000006,1,0,1,0,1858.21997,1862.51001,9,36,19.919671100886234,bull,bull
gold,2021-05-20 08:00:00,2021-05-20,Thu,3,long,day,1868.33997,1856.435779043672,1896.19995,11.904190956327966,27.85997999999995,2.34,1,352,28.970090000000027,1,0,1,1,1858.21997,1862.51001,9,36,22.302386954101383,bull,bull
gold,2021-06-04 11:00:00,2021-06-04,Fri,4,long,day,1860.21997,1856.070143230936,1868.95996,4.1498267690640205,8.739989999999807,2.11,1,1,11.410030000000006,1,0,1,0,1857.7081064835563,1858.7318335164439,9,16,20.474540657752993,bull,bull
gold,2021-06-08 06:00:00,2021-06-08,Tue,1,long,swing,1899.28003,1891.3262578359129,1950.63,7.953772164087013,51.34997000000021,6.46,0,44,4.079960000000028,1,0,1,1,1892.8605147228363,1893.8194252771636,5,8,19.17821108654319,bull,unclear
gold,2021-06-18 11:00:00,2021-06-18,Fri,4,long,swing,1784.65002,1782.2065243684845,1797.69995,2.4434956315155887,13.049929999999904,5.34,0,1,0.0,1,0,1,0,1784.4034322782106,1785.7764997217894,8,11,27.46134887157799,bull,unclear
gold,2021-07-06 08:00:00,2021-07-06,Tue,1,short,day,1791.98999,1799.2414595873431,1761.14001,7.251469587343081,30.84997999999996,4.25,0,17,1.0200199999999313,1,0,1,0,1794.70996,1797.69995,6,20,19.26886984178962,bear,bear
gold,2021-07-06 21:00:00,2021-07-06,Tue,1,short,day,1809.94995,1817.993201333388,1785.089966,8.04325133338807,24.85998399999994,3.09,0,191,19.760009999999966,1,1,1,0,1815.4882482539554,1816.4516917460448,5,5,19.26886984178962,bear,bear
gold,2021-07-07 06:00:00,2021-07-07,Wed,2,short,swing,1796.98999,1799.303232282364,1785.089966,2.3132422823639445,11.90002400000003,5.14,0,17,2.9799800000000687,1,0,1,0,1794.70996,1797.69995,7,22,20.041028529551006,bear,unclear
gold,2021-07-13 11:00:00,2021-07-13,Tue,1,short,swing,1810.81006,1818.0477800095668,1785.089966,7.237720009566829,25.720094000000017,3.55,0,136,11.810060000000021,1,1,1,0,1815.4752533310557,1816.4646866689445,5,5,19.788666757777925,bear,unclear
gold,2021-07-14 12:00:00,2021-07-14,Wed,2,short,swing,1811.83997,1818.128299234958,1785.089966,6.288329234957928,26.75000399999999,4.25,0,40,2.2600099999999657,1,1,1,0,1815.4560820869149,1816.4838579130853,5,5,20.555516523407547,bear,unclear
gold,2021-07-21 06:00:00,2021-07-21,Wed,2,short,swing,1810.30005,1818.174284190705,1785.089966,7.87423419070501,25.21008400000005,3.2,0,548,20.52002000000016,1,1,1,1,1815.4451332879275,1816.4948067120727,7,7,20.99346848290446,bear,unclear
gold,2021-07-22 18:00:00,2021-07-22,Thu,3,short,swing,1797.26001,1799.471443708148,1785.089966,2.211433708147979,12.170043999999962,5.5,0,18,4.410030000000006,1,0,1,0,1794.70996,1797.69995,8,26,22.143671351850553,bear,unclear
gold,2021-07-30 08:00:00,2021-07-30,Fri,4,long,swing,1829.26001,1821.7985069428867,1855.44995,7.461503057113305,26.18993999999998,3.51,0,64,2.1500200000000405,1,0,1,0,1823.42004,1831.44995,10,40,20.269163213916215,bull,unclear
gold,2021-08-04 06:00:00,2021-08-04,Wed,2,long,day,1810.55005,1807.1271234442363,1828.21997,3.422926555763752,17.669920000000047,5.16,1,64,20.329950000000053,1,1,1,0,1808.4931551057705,1809.3469248942295,11,16,17.075395769177483,bull,bull
gold,2021-08-05 06:00:00,2021-08-05,Thu,3,long,swing,1811.82996,1804.5008225600036,1828.21997,7.32913743999643,16.390010000000075,2.24,0,66,3.080069999999978,1,0,1,0,1805.93005,1808.92004,10,38,17.865342999953818,bull,unclear
gold,2021-08-06 11:00:00,2021-08-06,Fri,4,long,swing,1800.97998,1792.6516839270043,1831.78003,8.328296072995727,30.80004999999983,3.7,0,46,1.1700399999999718,1,0,1,0,1794.2275209350012,1795.212419064999,9,15,19.697962599959965,bull,unclear
gold,2021-09-09 06:00:00,2021-09-09,Thu,3,long,day,1789.17004,1778.6740495602387,1815.96997,10.495990439761272,26.79993000000013,2.55,0,483,19.569950000000063,1,0,1,0,1780.21997,1785.089966,13,50,19.32400549701804,bull,bull
gold,2021-09-09 18:00:00,2021-09-09,Thu,3,long,day,1794.80005,1792.6909494228132,1809.48999,2.1091005771868367,14.689939999999979,6.97,0,18,6.169920000000047,1,0,1,0,1794.2368698625746,1795.2030701374256,13,19,19.32400549701804,bull,bull
