ts,open,high,low,close
2026-03-27 02:15:00+00:00,22669.59,22674.59,22649.86,22667.36
2026-03-27 02:30:00+00:00,22666.36,22687.86,22659.86,22677.59
2026-03-27 02:45:00+00:00,22678.09,22684.89,22661.59,22663.86
2026-03-27 03:00:00+00:00,22665.09,22674.59,22651.36,22664.09
2026-03-27 03:15:00+00:00,22664.09,22670.09,22654.09,22669.09
2026-03-27 03:30:00+00:00,22670.09,22730.39,22669.59,22721.59
2026-03-27 03:45:00+00:00,22719.09,22721.59,22707.86,22719.59
2026-03-27 04:00:00+00:00,22718.59,22720.59,22698.09,22707.86
2026-03-27 04:15:00+00:00,22708.59,22718.36,22698.09,22709.09
2026-03-27 04:30:00+00:00,22709.49,22731.59,22705.59,22717.86
2026-03-27 04:45:00+00:00,22718.59,22730.59,22714.09,22721.09
2026-03-27 05:00:00+00:00,22721.59,22777.59,22721.59,22773.09
2026-03-27 05:15:00+00:00,22774.09,22780.09,22735.86,22754.09
2026-03-27 05:30:00+00:00,22755.09,22756.59,22729.59,22733.09
2026-03-27 05:45:00+00:00,22734.59,22744.09,22724.59,22726.59
2026-03-27 06:00:00+00:00,22727.09,22727.09,22710.59,22721.59
2026-03-27 06:15:00+00:00,22722.86,22753.89,22721.86,22733.59
2026-03-27 06:30:00+00:00,22734.09,22735.59,22711.59,22714.09
2026-03-27 06:45:00+00:00,22714.09,22715.09,22661.59,22672.59
2026-03-27 07:00:00+00:00,22670.09,22689.64,22657.89,22682.64
2026-03-27 07:15:00+00:00,22680.29,22682.64,22641.29,22645.29
2026-03-27 07:30:00+00:00,22645.64,22655.64,22627.29,22638.39
2026-03-27 07:45:00+00:00,22637.39,22665.64,22617.89,22617.89
2026-03-27 08:00:00+00:00,22617.39,22636.29,22538.84,22554.64
2026-03-27 08:15:00+00:00,22555.64,22561.64,22410.64,22424.64
2026-03-27 08:30:00+00:00,22425.64,22467.64,22397.64,22441.64
2026-03-27 08:45:00+00:00,22440.64,22455.64,22371.64,22381.64
2026-03-27 09:00:00+00:00,22383.64,22385.64,22277.64,22309.64
2026-03-27 09:15:00+00:00,22309.29,22399.64,22302.64,22375.64
2026-03-27 09:30:00+00:00,22374.64,22398.64,22345.64,22363.29
2026-03-27 09:45:00+00:00,22362.89,22364.29,22302.64,22306.64
2026-03-27 10:00:00+00:00,22306.64,22386.64,22295.64,22332.64
2026-03-27 10:15:00+00:00,22331.64,22384.64,22327.29,22366.64
2026-03-27 10:30:00+00:00,22367.64,22384.64,22313.64,22328.64
2026-03-27 10:45:00+00:00,22327.64,22336.64,22264.64,22275.64
2026-03-27 11:00:00+00:00,22274.64,22276.64,22209.64,22246.64
2026-03-27 11:15:00+00:00,22245.64,22309.64,22236.64,22306.64
2026-03-27 11:30:00+00:00,22307.64,22355.64,22306.64,22351.64
2026-03-27 11:45:00+00:00,22352.64,22359.64,22304.64,22311.64
2026-03-27 12:00:00+00:00,22309.64,22314.64,22252.64,22277.64
2026-03-27 12:15:00+00:00,22276.64,22312.64,22271.64,22297.29
2026-03-27 12:30:00+00:00,22296.29,22347.64,22287.64,22334.64
2026-03-27 12:45:00+00:00,22337.64,22358.44,22301.64,22329.64
2026-03-27 13:00:00+00:00,22328.64,22330.64,22250.64,22266.64
2026-03-27 13:15:00+00:00,22265.64,22344.64,22265.64,22327.64
2026-03-27 13:30:00+00:00,22328.64,22349.64,22263.64,22324.64
2026-03-27 13:45:00+00:00,22326.64,22363.64,22254.64,22263.36
2026-03-27 14:00:00+00:00,22264.36,22335.44,22263.36,22311.64
2026-03-27 14:15:00+00:00,22312.64,22364.64,22285.64,22291.64
2026-03-27 14:30:00+00:00,22290.64,22335.64,22273.84,22290.44
2026-03-27 14:45:00+00:00,22291.44,22315.64,22262.64,22295.64
2026-03-27 15:00:00+00:00,22296.64,22361.64,22280.64,22293.64
2026-03-27 15:15:00+00:00,22294.64,22379.64,22232.29,22345.64
2026-03-27 15:30:00+00:00,22344.64,22413.64,22342.29,22354.64
2026-03-27 15:45:00+00:00,22353.64,22384.64,22309.64,22316.64
2026-03-27 16:00:00+00:00,22314.64,22324.64,22270.64,22314.64
2026-03-27 16:15:00+00:00,22313.64,22324.64,22287.64,22324.64
2026-03-27 16:30:00+00:00,22325.64,22329.64,22276.64,22298.64
2026-03-27 16:45:00+00:00,22297.64,22338.64,22288.39,22307.64
2026-03-27 17:00:00+00:00,22309.64,22354.29,22282.64,22312.89
2026-03-27 17:15:00+00:00,22313.29,22318.64,22255.64,22268.64
2026-03-27 17:30:00+00:00,22269.64,22283.64,22256.64,22258.64
2026-03-27 17:45:00+00:00,22259.64,22276.64,22246.64,22251.64
2026-03-27 18:00:00+00:00,22253.64,22257.64,22211.64,22220.64
2026-03-27 18:15:00+00:00,22219.64,22240.29,22199.64,22225.89
2026-03-27 18:30:00+00:00,22226.29,22257.89,22217.29,22240.64
2026-03-27 18:45:00+00:00,22241.64,22244.64,22216.64,22228.64
2026-03-27 19:00:00+00:00,22230.64,22234.64,22199.64,22214.64
2026-03-27 19:15:00+00:00,22215.64,22230.64,22197.64,22205.64
2026-03-27 19:30:00+00:00,22205.29,22216.29,22152.64,22171.64
2026-03-27 19:45:00+00:00,22170.64,22216.64,22144.64,22196.64
2026-03-27 20:00:00+00:00,22198.64,22229.64,22174.64,22189.64
2026-03-27 20:15:00+00:00,22188.64,22192.64,22135.39,22153.64
2026-03-27 20:30:00+00:00,22156.64,22170.64,22126.64,22148.64
2026-03-27 20:45:00+00:00,22147.64,22148.64,22095.89,22103.79
