date,signal_ts,exit_ts,tf,signal,direction,dow,dow_idx,entry,sl,tp1,tp2,sl_dist,tp1_dist,dist_R,win,bars_held,mfe,h1_atr,adr,d_bias,h4_bias,w_bias,conf_ema,conf_rn,conf_wk,thu_mult
2023-04-21,2023-04-21 12:00:00,2023-04-21 18:00:00,240,AOI-D,long,Fri,4,1.24172,1.2364653535492287,1.2522292929015424,1.24673,0.005254646450771228,0.005254646450771228,0.005254646450771228,0,24,0.0016199999999999548,0.0008732322538566254,0.6306585901218521,1,1,-1,1,1,0,1.0
2023-05-03,2023-05-03 12:00:00,2023-06-02 13:30:00,240,AOI-D,short,Wed,2,1.24922,1.251471388160616,1.2447172236787678,1.24351,0.002251388160616097,0.002251388160616097,0.002251388160616097,0,3,0.0008500000000000174,0.0013069408030802914,0.7722296382841123,1,1,1,1,0,0,1.0
2023-07-25,2023-07-25 12:00:00,2023-07-25 18:00:00,240,AOI-W,long,Tue,1,1.2873,1.2809274845129774,1.3000450309740454,1.3096038042045794,0.0063725154870226675,0.0063725154870226675,0.0063725154870226675,0,24,0.0007199999999998319,0.0009083849567417114,0.6080033136833318,1,1,1,0,0,1,1.0
2023-07-27,2023-07-27 12:00:00,2023-07-27 18:00:00,240,AOI-D,short,Thu,3,1.28668,1.29673186517544,1.26657626964912,1.25652440447368,0.010051865175439989,0.010051865175439989,0.010051865175439989,0,24,0.004129999999999967,0.0010911048976663688,0.650746111159165,1,1,1,1,0,0,1.2
2023-09-07,2023-09-07 12:00:00,2023-09-07 18:00:00,240,AOI-D,long,Thu,3,1.24839,1.2442950632737302,1.25657987345254,1.25874,0.0040949367262699266,0.0040949367262699266,0.0040949367262699266,0,24,0.0005599999999998939,0.0009372363594575752,0.680384964658029,-1,-1,1,1,0,0,1.2
2023-10-17,2023-10-17 12:00:00,2023-10-17 18:00:00,240,AOI-D,long,Tue,1,1.22032,1.213028136561124,1.2349037268777523,1.22192,0.007291863438876112,0.007291863438876112,0.007291863438876112,0,24,0.0008500000000000174,0.0011093171943803142,0.699457888103466,-1,-1,-1,0,0,1,1.0
2023-10-18,2023-10-18 12:00:00,2023-10-18 18:00:00,240,AOI-W,short,Wed,2,1.21482,1.2209052434722463,1.2026495130555075,1.1935216478471382,0.00608524347224626,0.00608524347224626,0.00608524347224626,0,24,0.0011099999999999444,0.0009841449074873344,0.5754926663418259,-1,-1,-1,0,0,1,1.0
2023-10-19,2023-10-19 12:00:00,2023-10-19 18:00:00,240,AOI-D,long,Thu,3,1.21427,1.2116638658834378,1.2194822682331243,1.22106,0.0026061341165621865,0.0026061341165621865,0.0026061341165621865,0,24,0.0048600000000000865,0.0009005588190097878,0.6024708780512535,-1,-1,-1,1,0,1,1.2
2023-10-20,2023-10-20 12:00:00,2023-10-20 12:15:00,240,AOI-W,short,Fri,4,1.21501,1.2163548702844211,1.2123202594311575,1.2103029540045256,0.0013448702844212068,0.0013448702844212068,0.0013448702844212068,1,1,0.003069999999999906,0.0009495676147374478,0.6163069712081019,-1,-1,-1,0,0,1,1.0
2023-10-24,2023-10-24 12:00:00,2023-10-24 18:00:00,240,AOI-W,short,Tue,1,1.21679,1.222443285079062,1.205483429841876,1.197003502223283,0.005653285079062043,0.005653285079062043,0.005653285079062043,0,24,0.0015100000000001224,0.0010442835968740526,0.8478951658353697,-1,1,-1,0,0,1,1.0
2023-10-26,2023-10-26 12:00:00,2023-10-26 18:00:00,240,AOI-D,long,Thu,3,1.21105,1.2075069064250945,1.2181361871498109,1.21758,0.0035430935749054537,0.0035430935749054537,0.0035430935749054537,0,24,0.0022600000000001508,0.0008045565621058993,0.401023009675174,-1,-1,-1,1,0,1,1.2
2023-12-05,2023-12-05 12:00:00,2023-12-05 15:00:00,240,AOI-D,long,Tue,1,1.26123,1.2596408485404125,1.2644083029191753,1.27118,0.001589151459587601,0.001589151459587601,0.001589151459587601,1,12,0.0039199999999999235,0.0009457572979374414,0.3455960468180637,1,1,1,0,1,1,1.0
2023-12-07,2023-12-07 12:00:00,2023-12-07 18:00:00,240,AOI-D,long,Thu,3,1.25735,1.254252537449688,1.2635449251006239,1.26131,0.003097462550311958,0.003097462550311958,0.003097462550311958,0,24,0.00387000000000004,0.0009894272929666915,0.48323767799385764,1,-1,1,0,1,0,1.2
2023-12-13,2023-12-13 12:00:00,2023-12-13 18:00:00,240,AOI-D,long,Wed,2,1.25251,1.2503409191410446,1.2568481617179108,1.26152,0.0021690808589553967,0.0021690808589553967,0.0021690808589553967,0,24,0.0023199999999998777,0.0008454042947775108,0.7081986780849144,1,-1,1,0,0,1,1.0
2024-04-16,2024-04-16 12:00:00,2024-04-16 12:15:00,240,AOI-D,long,Tue,1,1.24347,1.2427266528891887,1.2449566942216228,1.24983,0.0007433471108113654,0.0007433471108113654,0.0007433471108113654,1,1,0.0020799999999998597,0.0008167355540566213,0.6200787540314878,-1,-1,-1,1,0,1,1.0
2024-04-17,2024-04-17 12:00:00,2024-04-17 18:00:00,240,AOI-W,short,Wed,2,1.24411,1.2471627202537423,1.2380045594925155,1.2334254791119021,0.003052720253742258,0.003052720253742258,0.003052720253742258,0,24,0.0017500000000001403,0.0008424008458076637,0.7976891653513717,-1,-1,-1,0,0,1,1.0
2024-04-18,2024-04-18 12:00:00,2024-04-18 17:15:00,240,AOI-W,short,Thu,3,1.24627,1.2476361283641,1.2435377432718,1.24148855072565,0.0013661283640999944,0.0013661283640999944,0.0013661283640999944,1,21,0.0029600000000000737,0.0007114676780559842,0.4795241223463919,-1,-1,-1,0,0,1,1.2
2024-04-19,2024-04-19 12:00:00,2024-04-19 18:00:00,240,AOI-W,short,Fri,4,1.23966,1.2470501027754584,1.2248797944490832,1.2137946402858957,0.007390102775458374,0.007390102775458374,0.007390102775458374,0,24,0.0024399999999999977,0.0008336759181947712,0.8343453651203805,-1,-1,-1,0,0,1,1.0
2024-04-26,2024-04-26 12:00:00,2024-04-26 12:30:00,240,AOI-D,long,Fri,4,1.24714,1.2447228057820505,1.2519743884358987,1.25263,0.002417194217949392,0.002417194217949392,0.002417194217949392,1,2,0.006940000000000168,0.0007359710897467016,0.6033306600699847,-1,1,-1,0,1,0,1.0
2024-05-31,2024-05-31 12:00:00,2024-05-31 18:00:00,240,AOI-D,short,Fri,4,1.27343,1.2766996339083965,1.2668907321832072,1.26805,0.0032696339083964077,0.0032696339083964077,0.0032696339083964077,0,24,0.0027700000000001612,0.0005981695419819957,0.4010326444095024,1,1,-1,0,1,0,1.0
2024-06-11,2024-06-11 12:00:00,2024-06-11 18:00:00,240,AOI-D,short,Tue,1,1.27215,1.2749030606135001,1.2666438787729994,1.26876,0.0027530606135002245,0.0027530606135002245,0.0027530606135002245,0,24,0.0015999999999998238,0.0007653030674999842,0.5716772717260014,1,-1,1,1,0,0,1.0
2024-07-23,2024-07-23 12:00:00,2024-07-23 18:00:00,240,AOI-D,long,Tue,1,1.29137,1.2901905734546295,1.2937288530907407,1.29421,0.001179426545370399,0.001179426545370399,0.001179426545370399,0,24,0.000400000000000178,0.000897132726852971,0.8314589456913031,1,-1,1,0,1,1,1.0
2024-09-04,2024-09-04 12:00:00,2024-09-04 18:00:00,240,AOI-D,short,Wed,2,1.31414,1.3176517937983694,1.3071164124032615,1.30874,0.0035117937983693004,0.0035117937983693004,0.0035117937983693004,0,24,0.0035200000000001896,0.0007089689918468304,0.3650921824010733,1,-1,1,0,1,0,1.0
2024-09-06,2024-09-06 12:00:00,2024-09-06 18:00:00,240,AOI-D,short,Fri,4,1.31324,1.3239734118835076,1.2917731762329847,1.281039764349477,0.010733411883507626,0.010733411883507626,0.010733411883507626,0,24,0.0022699999999999942,0.0006670594175383883,0.42662471136042635,1,1,1,1,0,0,1.0
2024-11-26,2024-11-26 12:00:00,2024-11-26 18:00:00,240,AOI-W,short,Tue,1,1.25624,1.2619279934285974,1.2448640131428053,1.236332022999909,0.005687993428597382,0.005687993428597382,0.005687993428597382,0,24,0.003149999999999986,0.0010266447619912175,0.8312392404880505,-1,-1,-1,0,1,1,1.0
2024-12-06,2024-12-06 12:00:00,2024-12-06 18:00:00,240,AOI-W,short,Fri,4,1.27436,1.281327352182317,1.2604252956353659,1.2499742673618903,0.006967352182317033,0.006967352182317033,0.006967352182317033,0,24,0.0022699999999999942,0.000757840607723518,0.3968309850241172,-1,1,-1,0,1,1,1.0
2025-01-17,2025-01-17 12:00:00,2025-01-17 18:00:00,240,AOI-D,long,Fri,4,1.21978,1.2158527733221962,1.2276344533556078,1.22602,0.0039272266778038745,0.0039272266778038745,0.0039272266778038745,0,24,0.0029799999999999827,0.0010861333890191866,0.7558472072203769,-1,-1,-1,0,0,1,1.0
2025-01-22,2025-01-22 12:00:00,2025-01-22 18:00:00,240,AOI-D,short,Wed,2,1.23182,1.2370694711718213,1.2213210576563571,1.2229,0.005249471171821396,0.005249471171821396,0.005249471171821396,0,24,0.0011099999999999444,0.0010473558591058273,0.6123135554412813,-1,1,-1,1,0,0,1.0
2025-03-04,2025-03-04 12:00:00,2025-03-04 18:00:00,240,AOI-D,short,Tue,1,1.27158,1.2755922425852668,1.2635555148294662,1.2582,0.00401224258526689,0.00401224258526689,0.00401224258526689,0,24,0.0016399999999998638,0.0012112129263343412,0.6620100276199229,1,1,-1,0,0,1,1.0
2025-03-06,2025-03-06 12:00:00,2025-03-06 18:00:00,240,AOI-D,short,Thu,3,1.28902,1.2921456618584568,1.2827686762830866,1.27676,0.003125661858456752,0.003125661858456752,0.003125661858456752,0,24,0.0014400000000001079,0.0012735910769025298,0.5924976021628701,1,1,-1,1,1,0,1.2
2025-04-16,2025-04-16 12:00:00,2025-04-16 18:00:00,240,AOI-D,short,Wed,2,1.32447,1.3274807152717218,1.3184485694565564,1.31636,0.003010715271721809,0.003010715271721809,0.003010715271721809,0,24,0.0033000000000000806,0.001103576358608816,0.6424149321801348,1,1,1,1,1,0,1.0
2025-07-23,2025-07-23 12:00:00,2025-08-22 18:00:00,240,AOI-D,short,Wed,2,1.35326,1.3548719035924017,1.3500361928151963,1.34616,0.00161190359240182,0.00161190359240182,0.00161190359240182,0,21,0.003169999999999895,0.0007595179620094458,0.4983295949150607,1,1,1,1,0,0,1.0
2025-08-28,2025-08-28 12:00:00,2025-08-28 18:00:00,240,AOI-W,long,Thu,3,1.35146,1.3486384032702405,1.3571031934595192,1.3613355885541587,0.002821596729759568,0.002821596729759568,0.002821596729759568,0,24,0.0015899999999999803,0.0006711020271098829,0.687574105554452,1,1,1,0,1,1,1.2
2025-10-17,2025-10-17 12:00:00,2025-10-17 18:00:00,240,AOI-D,long,Fri,4,1.34219,1.3388848078837525,1.348800384232495,1.34543,0.0033051921162474684,0.0033051921162474684,0.0033051921162474684,0,24,0.0009300000000000974,0.0009259605812367756,0.781860667684918,-1,1,1,0,1,0,1.0
2025-11-28,2025-11-28 12:00:00,2025-11-28 18:00:00,240,AOI-D,long,Fri,4,1.32511,1.3199294983095256,1.335471003380949,1.32689,0.005180501690474459,0.005180501690474459,0.005180501690474459,0,24,0.000320000000000098,0.0009025084523711662,0.5449103851993429,-1,-1,-1,1,0,0,1.0
2026-01-08,2026-01-08 12:00:00,2026-01-08 18:00:00,240,AOI-W,long,Thu,3,1.34411,1.341356946482976,1.3496161070340478,1.3537456873095837,0.002753053517023929,0.002753053517023929,0.002753053517023929,0,24,0.0006399999999999739,0.0005918153250664083,0.4268810297729514,1,-1,1,0,0,1,1.2
2026-01-09,2026-01-09 12:00:00,2026-01-09 18:00:00,240,AOI-D,long,Fri,4,1.34178,1.3391405777437693,1.3470588445124614,1.34655,0.0026394222562307057,0.0026394222562307057,0.0026394222562307057,0,24,0.0033199999999999896,0.0005971112811525998,0.4497571751178371,1,-1,1,1,0,0,1.0
2026-05-22,2026-05-22 12:00:00,2026-05-22 18:00:00,240,AOI-D,short,Fri,4,1.3437,1.3464250608993162,1.3382498782013672,1.33919,0.002725060899316345,0.002725060899316345,0.002725060899316345,0,24,0.0018999999999997907,0.0006753044965810296,0.3384445742135267,-1,-1,1,0,1,0,1.0
2026-07-08,2026-07-08 12:00:00,2026-07-08 18:00:00,240,AOI-D,long,Wed,2,1.33605,1.3332340987839877,1.3416818024320245,1.34018,0.002815901216012273,0.002815901216012273,0.002815901216012273,0,24,0.0049799999999999844,0.0011295060800617306,0.7916663209645813,-1,-1,-1,1,1,1,1.0
2026-07-10,2026-07-10 12:00:00,2026-07-10 18:00:00,240,AOI-D,short,Fri,4,1.34207,1.3438810215181562,1.3384479569636878,1.33807,0.0018110215181561529,0.0018110215181561529,0.0018110215181561529,0,24,0.0028799999999999937,0.0009051075907817645,0.7258261759554865,-1,1,-1,1,0,0,1.0
