datetime,close,atr_15m,d_trend,h4_trend,h4_slope,h1_trend,h4_d_phase,h1_h4_phase,min_of_day,day_of_week,year,long_win,short_win
2020-01-27 23:30:00,1582.41284,1.8508342534065503,1,1,1,1,1,1,1410,0,2020,1,0
2020-01-27 23:45:00,1583.99451,1.8960483529523409,1,1,1,1,1,1,1425,0,2020,0,1
2020-01-28 00:00:00,1583.93079,1.8712365725586835,1,1,1,1,1,1,0,1,2020,0,1
2020-01-28 00:15:00,1582.018311,1.9870863628841868,1,1,1,1,1,1,15,1,2020,1,0
2020-01-28 00:30:00,1582.90002,1.9781481811662882,1,1,1,1,1,1,30,1,2020,0,1
2020-01-28 00:45:00,1581.5,1.9650629570107796,1,1,1,1,1,1,45,1,2020,1,0
2020-01-28 01:00:00,1582.59998,2.027045229409344,1,1,1,1,1,1,60,1,2020,1,0
2020-01-28 01:15:00,1584.76245,2.1427751988214223,1,1,1,1,1,1,75,1,2020,0,1
2020-01-28 01:30:00,1580.44995,2.6104090389785535,1,1,1,1,1,1,90,1,2020,1,1
2020-01-28 01:45:00,1579.89282,2.5783545004480954,1,1,1,1,1,1,105,1,2020,1,0
2020-01-28 02:00:00,1581.90271,2.567907233721683,1,1,1,1,1,1,120,1,2020,1,1
2020-01-28 02:15:00,1579.87122,2.6068502692254523,1,1,1,1,1,1,135,1,2020,1,0
2020-01-28 02:30:00,1581.64307,2.5499435666620505,1,1,1,1,1,1,150,1,2020,1,0
2020-01-28 02:45:00,1583.81006,2.6112857577737727,1,1,1,1,1,1,165,1,2020,0,1
2020-01-28 03:00:00,1582.85999,2.569787523403929,1,1,1,1,1,1,180,1,2020,0,1
2020-01-28 03:15:00,1582.84998,2.4338065202834227,1,1,1,1,1,1,195,1,2020,0,1
2020-01-28 03:30:00,1581.26501,2.401291117578978,1,1,1,1,1,1,210,1,2020,1,1
2020-01-28 03:45:00,1582.64001,2.339793635235132,1,1,1,1,1,1,225,1,2020,0,1
2020-01-28 04:00:00,1581.33997,2.307818483870442,1,1,1,1,1,1,240,1,2020,0,1
2020-01-28 04:15:00,1580.22485,2.1621373526877257,1,1,1,1,1,1,255,1,2020,0,1
2020-01-28 04:30:00,1580.45959,2.118107038996043,1,1,1,1,1,1,270,1,2020,0,1
2020-01-28 04:45:00,1580.20618,2.105695433796576,1,1,1,1,1,1,285,1,2020,0,1
2020-01-28 05:00:00,1579.67004,2.1976080426236955,1,1,1,-1,1,-1,300,1,2020,0,1
2020-01-28 05:15:00,1578.37,2.204593636940536,1,1,1,-1,1,-1,315,1,2020,1,0
2020-01-28 05:30:00,1577.68005,2.151973152015144,1,1,1,-1,1,-1,330,1,2020,1,0
2020-01-28 05:45:00,1578.31006,2.065043398413125,1,1,1,-1,1,-1,345,1,2020,1,0
2020-01-28 06:00:00,1579.61536,2.0017162786246976,1,1,1,1,1,1,360,1,2020,1,0
2020-01-28 06:15:00,1579.67004,1.8174861081414238,1,1,1,1,1,1,375,1,2020,1,0
2020-01-28 06:30:00,1580.078003,1.7338134270559127,1,1,1,1,1,1,390,1,2020,1,0
2020-01-28 06:45:00,1580.91846,1.6372899034484794,1,1,1,1,1,1,405,1,2020,1,0
2020-01-28 07:00:00,1581.19495,1.5766192496553242,1,1,1,1,1,1,420,1,2020,1,0
2020-01-28 07:15:00,1581.35999,1.4550753497012627,1,1,1,1,1,1,435,1,2020,1,0
2020-01-28 07:30:00,1581.67004,1.3810687697410977,1,1,1,1,1,1,450,1,2020,1,0
2020-01-28 07:45:00,1582.76001,1.4275902671089604,1,1,1,1,1,1,465,1,2020,0,1
2020-01-28 08:00:00,1582.89404,1.3772035648277732,1,1,1,1,1,1,480,1,2020,0,1
2020-01-28 08:15:00,1583.31494,1.2549057561840549,1,1,1,1,1,1,495,1,2020,0,1
2020-01-28 08:30:00,1581.77002,1.3208369886928408,1,1,1,1,1,1,510,1,2020,0,1
2020-01-28 08:45:00,1581.95496,1.242724056867119,1,1,1,1,1,1,525,1,2020,0,1
2020-01-28 09:00:00,1581.61499,1.1236755159515077,1,1,1,1,1,1,540,1,2020,0,1
2020-01-28 10:00:00,1580.96997,1.1431867804913314,1,1,1,1,1,1,600,1,2020,1,0
