date,signal_time,h4b,h1b,hdb,h4_slope,orb_range_atr,asian_range_atr,breaks_asian_lo,breaks_pdl,pre_frb_mom,ret4bar,dow,month,adr_at_frb,entry,sl,tp1,sl_dist,reward,bars_held,win,rng_bin
2020-11-24,2020-11-24 07:45:00,-1,-1,-1,-1,1.2674405268095301,18.553548447357272,0,1,-0.6873675337589187,-0.9895978769052864,1,11,10.592919103830857,1836.099976,1840.98999,1835.2900300000001,4.890014000000065,0.8099459999998544,8,1,>1.0
2020-11-25,2020-11-25 15:00:00,-1,-1,-1,-1,1.1034389995701817,5.833776241716156,0,1,-0.8613243724547472,-2.295316447390593,2,11,5.274112285747615,1802.76001,1806.43005,1801.19007,3.6700399999999718,1.5699399999998604,10,0,>1.0
2020-11-26,2020-11-26 08:00:00,-1,-1,-1,-1,1.143887678082555,7.39981161711875,0,0,0.25723064491120434,-1.3737850356052783,3,11,9.637756244049061,1805.90002,1809.33997,1804.66003,3.4399499999999534,1.2399900000000343,4,0,>1.0
2020-12-01,2020-12-01 07:45:00,-1,1,-1,-1,1.9022081396227826,8.362127939495856,0,0,0.7532949042595845,-2.140637417034416,1,12,5.669861985058323,1776.56995,1781.83997,1773.35999,5.270019999999931,3.2099600000001374,19,0,>1.0
2020-12-11,2020-12-11 17:00:00,-1,1,1,-1,1.1699728237783005,13.170597346604195,0,0,1.2903463134475632,-2.567227911083283,4,12,6.140694284865406,1834.34998,1836.73999,1832.73999,2.390010000000075,1.6099899999999252,2,0,>1.0
2020-12-22,2020-12-22 17:30:00,-1,-1,1,1,1.7601728606480078,5.570753955683172,0,0,0.3207116897075963,-0.9698340434920424,1,12,5.7043964384570165,1873.069946,1879.16003,1869.4400679999999,6.090083999999933,3.62987800000019,1,1,>1.0
2020-12-23,2020-12-23 07:30:00,-1,-1,1,-1,1.1600308039091818,7.85083228453053,1,1,0.9317689473564026,-0.6623519259915474,2,12,8.898752595941,1860.13,1865.33997,1858.64001,5.209969999999885,1.4899900000000343,14,0,>1.0
2020-12-29,2020-12-29 08:00:00,-1,-1,1,-1,1.5040426869438652,10.80026281584375,0,0,0.04529139402234524,-0.43494670187235707,1,12,9.608302442336383,1872.82996,1876.71997,1869.58007,3.890010000000075,3.2498900000000503,7,0,>1.0
2021-01-07,2021-01-07 08:15:00,-1,-1,1,-1,1.4966264353927317,10.170323952649138,0,1,1.6783265195550132,-1.1977790157628947,3,1,12.531399486970145,1918.069946,1924.84998,1911.829952,6.780033999999887,6.239994000000024,33,0,>1.0
2021-01-08,2021-01-08 07:45:00,-1,-1,1,-1,1.741703730962846,5.494612712761893,0,0,0.6718762554681071,-1.4977560692829297,4,1,4.194345090044185,1913.65002,1918.66003,1910.019902,5.010009999999966,3.6301180000000386,17,1,>1.0
2021-01-12,2021-01-12 07:45:00,-1,-1,-1,-1,1.1353136322431592,9.261357613862888,0,0,-0.14554577872820973,-0.8941263363085534,1,1,8.655837689751047,1844.78003,1848.03003,1842.0700700000002,3.25,2.7099599999996826,5,0,>1.0
2021-01-13,2021-01-13 20:00:00,-1,1,-1,-1,1.262298692995757,7.793186332666922,0,0,2.3726924951343946,-2.379490025522645,2,1,9.505950403531514,1850.13,1856.80005,1848.82007,6.6700499999999465,1.3099300000001222,3,0,>1.0
2021-01-16,2021-01-16 07:45:00,-1,-1,-1,-1,1.284303793211618,11.012009741938757,0,1,-0.05667672713033824,-1.2438453046045646,5,1,13.267553971839707,1825.48999,1829.31995,1822.48009,3.8299600000000282,3.009900000000016,5,0,>1.0
2021-01-23,2021-01-23 07:30:00,-1,-1,1,-1,0.7532776639136786,11.150327850637352,0,0,-0.3819169316977124,-1.4799473395862408,5,1,11.74329364833986,1855.15002,1857.18005,1853.83997,2.030029999999897,1.3100500000000466,2,1,0.7-1.0
2021-01-27,2021-01-27 08:30:00,-1,-1,1,-1,1.5260879591033623,8.684030125442497,0,0,-0.10783201141934101,-1.8495748698158165,2,1,3.5892365245137094,1850.78003,1853.38,1849.2000779999998,2.599970000000212,1.5799520000000484,3,1,>1.0
2021-01-28,2021-01-28 11:00:00,-1,-1,-1,-1,0.99071241040244,7.372884707358045,0,0,-1.647342200512228,-1.8240158422073094,3,1,8.880360072841741,1838.089966,1843.08997,1837.43005,5.00000399999999,0.6599160000000666,5,1,0.7-1.0
2021-01-29,2021-01-29 11:45:00,-1,-1,-1,-1,1.6851462525965346,14.225480749831654,0,0,1.376475951297769,-1.518608700491266,4,1,7.214516963273738,1840.81995,1845.18005,1837.7999300000001,4.360099999999875,3.0200199999999313,18,0,>1.0
2021-02-03,2021-02-03 07:30:00,-1,-1,1,-1,0.8069030441197862,7.131504035974384,0,1,0.8455368297823105,-0.7875571614544333,2,2,6.938742140236126,1835.52002,1837.89001,1834.0499300000001,2.3699900000001435,1.4700899999998,5,0,0.7-1.0
2021-02-05,2021-02-05 07:45:00,-1,-1,-1,-1,0.8706554406390675,16.604447756754343,0,1,1.2361646813453782,-0.7215137404056141,4,2,13.937000135846842,1793.63,1796.26001,1792.13989,2.6300099999998565,1.4901100000001861,9,0,0.7-1.0
2021-02-12,2021-02-12 12:00:00,-1,-1,1,-1,1.180208374516572,15.73628849457439,0,1,-0.6199375336276178,-3.0399494468968222,4,2,11.860513991901707,1822.77002,1826.26001,1821.8000499999998,3.4899900000000343,0.969970000000103,4,1,>1.0
2021-02-25,2021-02-25 16:00:00,-1,-1,-1,-1,1.7466856153981947,14.08062505627306,0,0,-0.21411123099217289,-0.2817253039371573,3,2,7.129661136999313,1796.88,1800.83997,1794.14001,3.9599699999998847,2.7399900000000343,3,0,>1.0
2021-02-26,2021-02-26 07:45:00,-1,-1,-1,-1,0.828246341467382,5.888998195348526,0,1,-1.1979677913537974,-0.9002782004726881,4,2,7.594541576473815,1769.66003,1774.34998,1766.9500600000001,4.689949999999953,2.7099699999998847,2,0,0.7-1.0
2021-03-02,2021-03-02 12:15:00,-1,-1,-1,-1,1.2922359720412104,6.015077390291732,1,1,0.4244187241884579,-1.9924099041100858,1,3,9.19434459079242,1718.96997,1725.05005,1714.9899899999998,6.080079999999953,3.979980000000296,1,1,>1.0
2021-03-04,2021-03-04 08:30:00,-1,-1,-1,-1,1.2656878109601173,9.913060832929906,0,1,-1.0075616725154515,-0.5828332411951405,3,3,8.380565632971784,1713.30005,1717.72998,1711.1499,4.429930000000013,2.150150000000167,1,1,>1.0
2021-03-05,2021-03-05 10:45:00,-1,-1,-1,-1,1.327214849655046,11.015797153989622,0,1,2.61018273845281,-1.037959106004346,4,3,11.570882482385763,1694.38,1699.85999,1691.55993,5.479989999999816,2.8200700000002143,1,1,>1.0
2021-03-06,2021-03-06 07:30:00,-1,1,-1,-1,0.40879772817332183,9.48225125795746,0,0,0.15504241194030172,-0.31954355752207375,5,3,10.569944265756165,1698.22998,1699.81995,1697.5799499999998,1.5899699999999939,0.6500300000002426,1,0,0.3-0.5
2021-03-09,2021-03-09 07:30:00,-1,-1,-1,-1,1.5117330581165904,10.150803605788846,0,1,2.431179366079243,-0.5870243109768314,1,3,6.443487017793975,1682.35999,1685.98999,1679.66993,3.630000000000109,2.690059999999903,18,0,>1.0
2021-03-19,2021-03-19 10:30:00,-1,1,-1,1,0.9628878395313808,8.052795058848504,0,0,-0.1970917064869903,-1.3973719983896733,4,3,6.533557677148794,1732.98999,1736.93994,1732.1401400000002,3.9499499999999443,0.849849999999833,3,1,0.7-1.0
2021-03-24,2021-03-24 07:45:00,-1,-1,-1,-1,0.5904076930986836,11.547861021818866,0,1,0.08968424376133664,-0.19433953013046235,2,3,8.095658425919087,1726.96997,1728.569946,1726.4901139999997,1.5999759999999696,0.47985600000038175,6,1,0.5-0.7
