date,signal_ts,exit_ts,type,direction,orb_hi,orb_lo,orb_range,entry,sl,tp1,sl_dist,tp1_dist,win,bars_held,mfe,h1b,h4b
2021-11-11,2021-11-11 18:30:00,2021-11-11 19:30:00,NY,long,1853.89001,1843.77002,10.119990000000143,1855.92004,1843.27002,1861.4800025000002,12.65002000000004,5.559962500000211,1,4,10.049930000000131,1,1
2021-11-17,2021-11-17 14:30:00,2021-11-17 18:15:00,NY,short,1856.14001,1853.67004,2.469970000000103,1852.52002,1856.64001,1851.8175625,4.1199900000001435,0.7024575000000368,0,15,0.4300539999999273,-1,-1
2021-11-18,2021-11-18 15:15:00,2021-11-18 17:30:00,NY,long,1866.93005,1864.27002,2.660030000000006,1867.31995,1863.77002,1868.9250725,3.5499300000001313,1.6051224999998794,0,9,0.11998999999991611,1,1
2021-11-22,2021-11-22 14:30:00,2021-11-22 14:45:00,NY,short,1846.69995,1845.71997,0.9799799999998413,1845.46997,1847.19995,1844.9849850000003,1.7299799999998413,0.48498499999982414,0,1,0.0,-1,-1
2021-11-23,2021-11-23 20:00:00,2021-11-23 20:15:00,FRB,short,1805.43994,1803.02002,2.4199200000000474,1802.050049,1805.93994,1801.20508,3.889891000000034,0.8449689999999919,1,1,19.94005900000002,-1,-1
2021-11-23,2021-11-23 15:30:00,2021-11-23 17:15:00,NY,short,1810.30005,1807.73999,2.5600600000000213,1807.51001,1810.80005,1805.819945,3.29004000000009,1.6900650000000041,1,7,25.390010000000075,-1,-1
2021-11-24,2021-11-24 17:15:00,2021-11-24 18:00:00,NY,short,1794.92004,1792.94995,1.9700900000000274,1792.93994,1795.42004,1791.4723824999999,2.480099999999993,1.4675575000001118,0,3,0.5199000000000069,-1,-1
2021-11-25,2021-11-25 23:00:00,2021-11-25 23:30:00,NY,short,1793.31006,1792.40002,0.9100399999999809,1792.33997,1793.81006,1791.71749,1.4700900000000274,0.6224799999999959,1,2,4.369999999999891,-1,-1
2021-11-29,2021-11-29 15:00:00,2021-11-29 15:30:00,NY,short,1796.65002,1794.43994,2.2100800000000618,1793.66003,1797.15002,1792.7823799999999,3.4899900000000343,0.8776500000001306,1,2,2.369989999999916,-1,-1
2021-12-01,2021-12-01 14:45:00,2021-12-01 16:30:00,NY,short,1780.38,1778.17004,2.2099600000001374,1778.050049,1780.88,1776.5125699999999,2.8299510000001646,1.5374790000000758,0,7,0.6199990000000071,-1,-1
2021-12-02,2021-12-02 15:00:00,2021-12-02 16:30:00,FRB,short,1782.14001,1778.46997,3.6700399999999718,1777.78003,1782.64001,1775.7174400000001,4.859980000000178,2.0625899999997728,1,6,14.200069999999869,-1,-1
2021-12-02,2021-12-02 14:30:00,2021-12-02 15:00:00,NY,short,1781.18005,1779.95996,1.2200900000000274,1779.77002,1781.68005,1779.0448924999998,1.9100300000000061,0.7251275000000987,1,2,16.190059999999903,-1,-1
2021-12-03,2021-12-03 19:45:00,2021-12-03 20:00:00,NY,short,1774.42004,1771.71997,2.7000699999998687,1769.89001,1774.92004,1769.6949175000002,5.030029999999897,0.19509249999987333,1,1,3.6900600000001305,-1,-1
2021-12-07,2021-12-07 21:00:00,2021-12-07 21:45:00,NY,short,1780.25,1779.19995,1.0500500000000557,1779.079956,1780.75,1778.4124124999998,1.6700439999999617,0.6675435000001926,0,3,0.20995600000014747,-1,-1
2021-12-08,2021-12-08 16:45:00,2021-12-08 17:45:00,NY,long,1790.54004,1788.95996,1.58008000000018,1790.82996,1788.45996,1791.7251,2.3700000000001182,0.8951400000000831,0,4,0.8100500000000466,1,1
2021-12-09,2021-12-09 17:45:00,2021-12-09 18:00:00,NY,long,1783.69995,1782.93994,0.7600099999999657,1784.040039,1782.43994,1784.2699575,1.6000990000000002,0.22991849999993974,1,1,3.6400109999999586,1,1
2021-12-10,2021-12-10 16:00:00,2021-12-10 17:00:00,NY,short,1779.55005,1777.88,1.6700499999999465,1777.65002,1780.05005,1776.6274625,2.400030000000015,1.022557499999948,1,4,7.469970000000103,-1,-1
2021-12-13,2021-12-13 15:15:00,2021-12-13 16:30:00,NY,long,1786.44995,1785.43994,1.0100099999999657,1786.73999,1784.93994,1787.2074575,1.8000500000000557,0.46746749999988424,0,5,0.15002000000004045,1,1
2021-12-14,2021-12-14 17:00:00,2021-12-14 18:30:00,NY,long,1787.44995,1786.040039,1.4099109999999655,1788.16003,1785.540039,1788.50738325,2.6199910000000273,0.3473532499999692,0,6,0.27990999999997257,1,1
2021-12-15,2021-12-15 16:15:00,2021-12-15 17:45:00,NY,short,1772.38,1769.78003,2.599970000000212,1769.66003,1772.88,1767.8300524999997,3.219970000000103,1.8299775000002683,1,6,2.7399900000000343,-1,-1
2021-12-16,2021-12-16 16:45:00,2021-12-16 17:15:00,NY,long,1783.21997,1781.84998,1.3699900000001435,1783.63,1781.34998,1784.2474625000002,2.2800200000001496,0.6174625000001015,1,2,15.260009999999966,1,1
