ts,open,high,low,close
2023-01-16 01:00:00+00:00,15163.15,15194.75,15159.15,15190.15
2023-01-16 02:00:00+00:00,15190.15,15193.75,15174.75,15175.75
2023-01-16 03:00:00+00:00,15177.15,15180.15,15166.15,15175.75
2023-01-16 04:00:00+00:00,15175.15,15184.15,15165.15,15170.15
2023-01-16 05:00:00+00:00,15170.15,15172.75,15154.15,15157.15
2023-01-16 06:00:00+00:00,15157.15,15159.15,15128.75,15136.15
2023-01-16 07:00:00+00:00,15136.15,15136.15,15109.25,15134.05
2023-01-16 08:00:00+00:00,15133.05,15136.55,15083.55,15095.55
2023-01-16 09:00:00+00:00,15095.55,15123.05,15094.55,15102.05
2023-01-16 10:00:00+00:00,15102.05,15127.05,15093.05,15127.05
2023-01-16 11:00:00+00:00,15127.05,15141.05,15120.05,15136.05
2023-01-16 12:00:00+00:00,15136.05,15138.05,15117.05,15121.05
2023-01-16 13:00:00+00:00,15122.05,15156.05,15120.05,15150.05
2023-01-16 14:00:00+00:00,15150.05,15153.05,15128.05,15134.05
2023-01-16 15:00:00+00:00,15134.05,15142.05,15126.05,15141.05
2023-01-16 16:00:00+00:00,15141.05,15154.05,15127.05,15128.05
2023-01-16 17:00:00+00:00,15128.05,15132.05,15118.05,15120.05
2023-01-16 18:00:00+00:00,15120.05,15129.05,15120.05,15124.05
2023-01-16 19:00:00+00:00,15124.05,15127.05,15124.05,15125.05
2023-01-16 20:00:00+00:00,15125.05,15125.05,15113.05,15113.15
2023-01-16 21:00:00+00:00,15113.15,15115.12,15110.25,15115.12
2023-01-17 00:00:00+00:00,15134.66,15153.05,15132.1,15140.65
2023-01-17 01:00:00+00:00,15140.05,15153.05,15129.65,15129.65
2023-01-17 02:00:00+00:00,15129.05,15145.65,15116.65,15125.15
2023-01-17 03:00:00+00:00,15126.15,15130.15,15115.15,15124.15
2023-01-17 04:00:00+00:00,15125.15,15127.15,15117.15,15121.15
2023-01-17 05:00:00+00:00,15121.15,15122.15,15100.55,15111.15
2023-01-17 06:00:00+00:00,15111.15,15122.55,15095.55,15101.05
2023-01-17 07:00:00+00:00,15101.05,15139.35,15098.85,15126.85
2023-01-17 08:00:00+00:00,15126.85,15179.35,15088.55,15107.85
2023-01-17 09:00:00+00:00,15107.85,15132.35,15082.85,15108.85
2023-01-17 10:00:00+00:00,15108.85,15135.15,15092.85,15110.85
2023-01-17 11:00:00+00:00,15110.85,15125.85,15107.85,15124.85
2023-01-17 12:00:00+00:00,15124.85,15134.85,15116.85,15126.85
2023-01-17 13:00:00+00:00,15126.85,15151.85,15115.85,15129.85
2023-01-17 14:00:00+00:00,15130.85,15158.85,15126.85,15154.85
2023-01-17 15:00:00+00:00,15154.85,15274.85,15154.85,15173.85
2023-01-17 16:00:00+00:00,15173.85,15207.85,15152.85,15198.85
2023-01-17 17:00:00+00:00,15198.85,15204.85,15186.85,15199.85
2023-01-17 18:00:00+00:00,15199.85,15210.35,15197.85,15202.85
2023-01-17 19:00:00+00:00,15202.85,15205.85,15181.85,15188.85
2023-01-17 20:00:00+00:00,15188.85,15196.85,15172.85,15187.95
2023-01-17 21:00:00+00:00,15186.95,15192.05,15177.05,15178.1
