pair,ts,date,dow,dow_idx,direction,trade_type,price,sl,tp,sl_dist,tp_dist,rr,win,bars_held,mfe,c_round,c_ema50,c_strong,choch_engulf,zone_lo,zone_hi,zone_visits,zone_touches,atr_d,td,th4
eurusd,2023-10-31 13:00:00,2023-10-31,Tue,1,short,swing,1.06032,1.0611667005161531,1.0581,0.0008467005161532093,0.0022199999999998887,2.62,0,1,0.0,0,0,1,0,1.060390785591392,1.060689214408608,11,14,0.005968576344313277,bear,unclear
eurusd,2023-12-14 18:00:00,2023-12-14,Thu,3,long,day,1.09824,1.0956133174206508,1.10568,0.002626682579349282,0.007439999999999891,2.83,0,58,0.0020999999999999908,0,0,1,0,1.0962126946239645,1.0965873053760355,3,4,0.0074922150414227775,bull,bull
eurusd,2023-12-15 06:00:00,2023-12-15,Fri,4,long,day,1.09868,1.0955360684312305,1.10568,0.0031439315687695757,0.006999999999999895,2.23,0,10,0.0012099999999999334,0,0,1,0,1.0961943020074358,1.0966056979925642,4,5,0.008227919702566432,bull,bull
eurusd,2024-01-17 14:00:00,2024-01-17,Wed,2,long,day,1.08485,1.0831904237461965,1.08945,0.0016595762538036407,0.0045999999999999375,2.77,1,44,0.005199999999999871,0,0,1,0,1.0837234342252848,1.0840565657747152,5,5,0.006662630988604024,bull,bull
eurusd,2024-01-18 13:00:00,2024-01-18,Thu,3,long,swing,1.08523,1.083207680580037,1.08945,0.0020223194199628924,0.0042200000000001125,2.09,1,117,0.0043600000000001415,0,0,1,0,1.0837275429952469,1.0840524570047532,5,5,0.006498280190123494,bull,unclear
eurusd,2024-01-23 14:00:00,2024-01-23,Tue,1,long,day,1.08524,1.0833566781500532,1.08945,0.001883321849946773,0.004210000000000047,2.24,0,6,0.0018100000000000893,0,0,1,0,1.0837630186071556,1.0840169813928444,5,5,0.005079255713780104,bull,bull
eurusd,2024-03-05 06:00:00,2024-03-05,Tue,1,long,swing,1.08463,1.0834238420813973,1.08945,0.0012061579186026794,0.0048200000000000465,4.0,1,134,0.005079999999999973,0,0,1,0,1.0837790100193803,1.0840009899806198,6,10,0.004439599224788047,bull,unclear
eurusd,2024-04-24 06:00:00,2024-04-24,Wed,2,short,swing,1.06942,1.0699311898451405,1.06006,0.0005111898451404251,0.009360000000000035,18.31,0,1,0.0,0,0,1,0,1.06774,1.06945,6,18,0.006014873064255188,bear,unclear
eurusd,2024-04-25 12:00:00,2024-04-25,Thu,3,short,swing,1.06918,1.0699059645324551,1.06229,0.0007259645324551034,0.006890000000000063,9.49,0,1,0.0,0,0,1,0,1.06774,1.06945,6,27,0.0056995566556878215,bear,unclear
eurusd,2024-04-25 16:00:00,2024-04-25,Thu,3,short,swing,1.07308,1.0755184534488473,1.06229,0.0024384534488472998,0.010790000000000077,4.42,0,160,0.005730000000000013,1,0,1,0,1.074777511083608,1.0750624889163922,3,7,0.0056995566556878215,bear,unclear
eurusd,2024-04-26 06:00:00,2024-04-26,Fri,4,short,swing,1.07351,1.0755254596556678,1.06934,0.0020154596556678506,0.004170000000000007,2.07,1,34,0.0049200000000000355,1,0,1,1,1.0747758429391268,1.0750641570608734,3,7,0.005766282434929443,bear,unclear
eurusd,2024-06-11 08:00:00,2024-06-11,Tue,1,short,swing,1.07449,1.0755151671700827,1.07229,0.0010251671700827192,0.0021999999999999797,2.15,0,1,0.0,1,0,1,0,1.074778293530933,1.0750617064690673,3,7,0.005668258762691184,bear,unclear
eurusd,2024-06-12 06:00:00,2024-06-12,Wed,2,short,swing,1.07411,1.075511551547405,1.06934,0.0014015515474050666,0.004769999999999941,3.4,0,18,0.0005899999999998684,1,0,1,0,1.074779154393475,1.0750608456065252,4,8,0.005633824260999045,bear,unclear
eurusd,2024-07-23 13:00:00,2024-07-23,Tue,1,long,day,1.08488,1.0834278344462474,1.08945,0.0014521655537527156,0.004569999999999963,3.15,0,74,0.0008799999999999919,0,1,1,0,1.0837799605824399,1.0840000394175602,8,12,0.004401576702406305,bull,bull
eurusd,2024-07-24 06:00:00,2024-07-24,Wed,2,long,day,1.0843,1.083415256520081,1.08945,0.0008847434799190701,0.005149999999999988,5.82,0,6,0.0010499999999999954,0,1,1,0,1.0837769658381144,1.0840030341618856,8,12,0.00452136647541878,bull,bull
eurusd,2024-07-25 07:00:00,2024-07-25,Thu,3,long,day,1.08489,1.083421155650737,1.08945,0.0014688443492629766,0.0045600000000001195,3.1,0,1,0.0,0,1,1,0,1.0837783703930326,1.0840016296069674,9,13,0.004465184278696275,bull,bull
eurusd,2024-07-26 06:00:00,2024-07-26,Fri,4,long,swing,1.0852,1.0834252882306386,1.08945,0.0017747117693613923,0.004250000000000087,2.39,1,94,0.02890999999999999,0,1,1,0,1.0837793543406282,1.0840006456593718,9,14,0.004425826374870106,bull,unclear
eurusd,2025-10-09 06:00:00,2025-10-09,Thu,3,long,day,1.16154,1.1587545398386654,1.17189,0.0027854601613346297,0.010350000000000081,3.72,0,33,0.0018199999999999328,1,0,0,1,1.15927,1.16126,2,9,0.0064432520166832,bull,bull
eurusd,2025-10-10 15:00:00,2025-10-10,Fri,4,long,swing,1.16122,1.1587097745268433,1.17189,0.002510225473156602,0.01067000000000018,4.25,0,70,0.0018500000000001293,1,0,0,1,1.15927,1.16126,2,12,0.007002818414458771,bull,unclear
eurusd,2025-11-26 08:00:00,2025-11-26,Wed,2,short,swing,1.1572,1.1578767671936592,1.15416,0.0006767671936591668,0.0030399999999999316,4.49,0,1,0.0,0,0,0,0,1.1571379125729384,1.1574220874270618,2,4,0.005683497082468193,bear,unclear
eurusd,2026-03-03 08:00:00,2026-03-03,Tue,1,long,day,1.16228,1.157972995032065,1.17189,0.004307004967935013,0.009610000000000118,2.23,0,25,0.0015600000000000058,1,0,1,0,1.15846,1.16126,5,74,0.006087562099187444,bull,bull
eurusd,2026-03-04 06:00:00,2026-03-04,Wed,2,long,day,1.16108,1.1578494490277897,1.16994,0.0032305509722101444,0.00886000000000009,2.74,0,133,0.0044000000000001815,1,0,1,0,1.15846,1.16126,6,84,0.0076318871526291285,bull,bull
eurusd,2026-03-05 06:00:00,2026-03-05,Thu,3,long,swing,1.16068,1.1578455224907511,1.16994,0.0028344775092488117,0.009260000000000046,3.27,0,37,0.003770000000000051,1,0,1,0,1.15846,1.16126,6,88,0.007680968865611912,bull,unclear
eurusd,2026-04-21 12:00:00,2026-04-21,Tue,1,short,swing,1.17592,1.1780804704336252,1.16126,0.0021604704336251057,0.014660000000000117,6.79,1,89,0.01658000000000004,0,0,1,1,1.1772008403729464,1.1775391596270537,5,6,0.006766385082144644,bear,unclear
eurusd,2026-04-21 19:00:00,2026-04-21,Tue,1,short,swing,1.17256,1.1744913108065715,1.16126,0.0019313108065714957,0.011300000000000088,5.85,0,1,0.0,0,0,1,1,1.16994,1.17395,9,74,0.006766385082144644,bear,unclear
eurusd,2026-04-22 07:00:00,2026-04-22,Wed,2,short,swing,1.17554,1.1780794010424753,1.16126,0.0025394010424752977,0.01428000000000007,5.62,1,13,0.016199999999999992,0,0,1,1,1.1772010949898868,1.1775389050101133,5,7,0.00675620040452537,bear,unclear
eurusd,2026-06-05 06:00:00,2026-06-05,Fri,4,short,swing,1.16223,1.1635971604211142,1.15927,0.0013671604211140664,0.0029600000000000737,2.17,0,6,0.0009200000000000319,0,0,1,0,1.1629444856140205,1.1631955143859796,12,18,0.005020575439181894,bear,unclear
eurusd,2026-06-05 13:00:00,2026-06-05,Fri,4,short,swing,1.15719,1.1578071604211142,1.15571,0.0006171604211142601,0.0014799999999999258,2.4,0,1,0.0,0,0,1,0,1.1571544856140206,1.1574055143859796,3,5,0.005020575439181894,bear,unclear
eurusd,2026-07-07 10:00:00,2026-07-07,Tue,1,short,swing,1.14338,1.1460637413829702,1.13638,0.0026837413829701173,0.007000000000000117,2.61,0,259,0.0042600000000001526,1,0,1,0,1.1451924425278641,1.1455275574721357,3,6,0.0067022988854299375,bear,unclear
eurusd,2026-07-09 06:00:00,2026-07-09,Thu,3,short,day,1.14421,1.1460024173054308,1.13638,0.0017924173054308934,0.007830000000000004,4.37,0,81,0.0020999999999999908,1,0,1,0,1.145207043498707,1.145512956501293,3,6,0.006118260051722943,bear,bear
eurusd,2026-07-15 09:00:00,2026-07-15,Wed,2,short,day,1.1417,1.1423046500618939,1.13713,0.0006046500618939188,0.004569999999999963,7.56,0,1,0.0,0,0,1,0,1.1412,1.14184,8,22,0.0058081257736748845,bear,bear
eurusd,2026-07-15 14:00:00,2026-07-15,Wed,2,short,day,1.1437,1.1459698532062357,1.13713,0.002269853206235739,0.006569999999999965,2.89,0,14,0.0006800000000000139,1,0,1,0,1.145214796855658,1.1455052031443418,3,6,0.0058081257736748845,bear,bear
eurusd,2026-07-16 12:00:00,2026-07-16,Thu,3,short,day,1.14476,1.1459956394454043,1.13775,0.0012356394454042796,0.007009999999999961,5.67,0,1,0.0,1,0,1,0,1.1452086572749036,1.1455113427250962,4,7,0.0060537090038515875,bear,bear
eurusd,2026-07-17 06:00:00,2026-07-17,Fri,4,short,swing,1.14499,1.1459738875193504,1.13775,0.0009838875193504126,0.007239999999999913,7.36,0,136,0.004750000000000032,1,0,1,0,1.1452138363049165,1.1455061636950834,4,8,0.0058465478033380355,bear,unclear
