date,direction,h4b,h1b,hdb,h4_slope,orb_range_atr,frb_short_day,breaks_pdl,breaks_pdh,ret4bar,dow,month,adr_at_nyorb,entry,sl,tp1,sl_dist,reward,bars_held,win,rng_bin
2021-09-14,short,-1,1,-1,-1,0.6901733320822525,0,0,0,-1.4993151903949566,1,9,1.8582702066220886,1790.71997,1792.63,1789.80994,1.9100300000000061,0.9100300000000061,2,1,0.5-0.7
2021-09-15,long,1,1,-1,1,1.3443648449414722,0,0,1,0.6721104029252438,2,9,5.473468223312711,1803.95996,1802.17004,1804.9100400000002,1.7899199999999382,0.9500800000002982,2,0,>1.0
2021-09-17,short,-1,-1,-1,-1,0.5215346647173323,0,0,0,-0.5251841016553501,4,9,4.83903739112305,1757.63,1759.83997,1756.48009,2.2099699999998847,1.1499100000000908,1,1,0.5-0.7
2021-09-21,short,-1,1,-1,-1,1.1024747110440216,0,0,0,-1.2691632622372513,1,9,3.3690986833616416,1761.040039,1763.18005,1760.2999300000001,2.1400109999999586,0.7401089999998476,5,0,>1.0
2021-09-22,long,1,1,-1,1,1.0621403916113719,0,0,1,1.5368707567275017,2,9,4.1990278652747435,1778.43994,1776.03003,1779.16993,2.4099100000000817,0.7299900000000434,1,1,>1.0
2021-09-27,short,-1,1,-1,-1,1.0822671479717612,0,0,0,-0.6654598523807188,0,9,4.249069629219593,1758.32996,1760.23999,1757.0400300000001,1.9100300000000061,1.289929999999913,5,0,>1.0
2021-09-29,short,-1,1,-1,-1,1.6872739526995726,0,0,0,-2.1218877309277473,2,9,3.577208456196724,1738.10999,1741.15002,1736.69006,3.0400300000001153,1.4199300000000221,10,0,>1.0
2021-10-01,long,1,1,-1,1,1.6955175931541377,0,0,1,1.9257190748400264,4,10,6.615551375605057,1754.67004,1750.81995,1757.35999,3.850089999999909,2.6899499999999534,23,0,>1.0
2021-10-04,long,1,1,-1,1,0.5819886026538491,0,0,0,0.33689498530695733,0,10,2.774559249224816,1760.079956,1758.43994,1760.45996,1.6400160000000596,0.38000399999987167,1,1,0.5-0.7
2021-10-07,long,1,1,-1,1,1.2571051583703345,1,0,0,0.5816493109086082,3,10,4.1984562482158,1759.21997,1757.28003,1760.4599699999999,1.939940000000206,1.2399999999997817,6,1,>1.0
2021-10-08,short,-1,1,-1,-1,1.2741736613193244,1,0,0,-0.8650028202469533,4,10,2.7051325639812283,1758.87,1761.13,1757.8900199999998,2.2600000000002183,0.9799800000000687,2,1,>1.0
2021-10-11,short,-1,1,1,-1,1.6712368583401158,0,0,0,-2.103905765979038,0,10,4.916861393177827,1756.71997,1760.579956,1754.9801039999998,3.8599859999999353,1.7398660000003474,8,1,>1.0
2021-10-12,short,-1,1,-1,-1,1.5148281646845867,1,0,0,-0.8546237345853346,1,10,3.357254874279268,1756.93005,1759.530029,1755.449951,2.5999790000000758,1.480098999999882,3,0,>1.0
2021-10-13,long,1,1,-1,1,1.8919937149452926,1,0,0,1.6039356861817096,2,10,2.8601873284571924,1762.42004,1759.79004,1764.2299799999998,2.6299999999998818,1.8099399999998695,14,1,>1.0
2021-10-14,long,1,1,1,1,1.7315385185660281,1,0,1,1.7698773699291572,3,10,15.487771159619939,1790.88,1787.21997,1792.23999,3.660030000000006,1.3599899999999252,5,1,>1.0
2021-10-18,short,-1,-1,1,-1,2.3352072234829144,0,0,0,-2.4044049216758494,0,10,2.3086124006872377,1767.82996,1771.46997,1764.8901299999998,3.640010000000075,2.9398300000002564,9,1,>1.0
2021-10-22,long,1,1,1,1,1.8687468144562196,1,0,0,0.6778765905309017,4,10,3.5408389001297373,1788.33997,1785.38,1790.180058,2.9599699999998847,1.8400879999999233,1,1,>1.0
2021-10-25,long,1,1,1,1,1.7587669007062314,0,0,0,2.854170201199227,0,10,3.4215915108980863,1798.63,1794.589966,1801.0301519999998,4.040034000000105,2.400151999999707,5,1,>1.0
2021-10-26,long,1,1,1,1,1.1510828208245811,0,0,1,0.07635146919096811,1,10,2.6977933185019154,1805.30005,1803.07996,1806.90002,2.2200900000000274,1.5999699999999848,2,0,>1.0
2021-10-27,short,-1,-1,1,-1,1.2887745969509885,1,1,0,-2.2693942140428605,2,10,6.6965169328105665,1787.19995,1789.12,1785.8599800000002,1.9200499999999465,1.3399699999997665,3,1,>1.0
2021-10-28,long,1,1,1,1,1.203354564229713,1,0,0,0.8614944145062067,3,10,6.153068483735503,1800.64001,1797.98999,1802.01001,2.6500200000000405,1.3699999999998909,5,1,>1.0
2021-10-29,long,1,-1,1,1,1.2880646948112981,0,0,0,0.7075577899098059,4,10,3.8721726261602374,1797.069946,1794.70996,1798.4499600000001,2.3599860000001627,1.3800140000000738,2,0,>1.0
2021-11-01,short,-1,1,-1,-1,1.4344864800292658,0,0,0,-2.13019090554617,0,11,3.490484583514043,1784.29004,1786.95996,1782.45996,2.66991999999982,1.83008000000018,10,0,>1.0
2021-11-03,short,-1,-1,1,-1,1.502331657998526,1,1,0,-3.015019847050204,2,11,6.370096407489631,1776.030029,1784.27002,1775.12988,8.239990999999918,0.9001490000000558,1,1,>1.0
2021-11-04,short,-1,1,1,-1,1.076770590134317,1,0,0,-1.5867575468864876,3,11,6.117652815979498,1775.51001,1778.05005,1774.12989,2.54004000000009,1.3801200000000335,10,1,>1.0
2021-11-05,long,1,1,-1,1,0.8886933892608748,1,0,1,1.1496608496270457,4,11,2.489336486700935,1794.78003,1792.84998,1795.5299,1.9300499999999374,0.7498700000001008,2,1,0.7-1.0
2021-11-08,long,1,1,1,1,1.4862853016773194,0,0,1,0.9804899498592106,0,11,4.792706857132112,1820.28003,1817.21997,1822.4799819999998,3.060059999999794,2.1999519999999393,8,0,>1.0
2021-11-09,long,1,1,1,1,2.1211796718187537,1,0,1,1.011503866781131,1,11,5.287231909064528,1824.60999,1821.47998,1826.30004,3.1300099999998565,1.6900500000001557,1,1,>1.0
2021-11-11,long,1,1,1,1,5.217705098353862,0,0,1,1.8664089864702726,3,11,16.87912561416489,1855.92004,1843.27002,1864.0100000000002,12.65002000000004,8.089960000000247,5,1,>1.0
2021-11-12,long,1,-1,1,1,1.1755751707413082,1,0,0,1.9358473314286193,4,11,4.765023002421733,1857.43005,1855.10999,1858.26989,2.3200600000000122,0.8398400000000947,3,1,>1.0
2021-11-17,short,-1,-1,1,-1,1.4472881855360695,0,1,0,-1.6934121989663964,2,11,15.83028886545756,1852.52002,1856.64001,1851.2000699999999,4.1199900000001435,1.3199500000000626,15,0,>1.0
2021-11-18,long,1,1,1,1,1.745888465314412,0,0,0,0.8072897215901246,3,11,6.1711399206358655,1867.31995,1863.77002,1869.59008,3.5499300000001313,2.270129999999881,9,0,>1.0
2021-11-19,short,-1,1,1,1,1.329941830182888,0,0,0,-1.4895827277106568,4,11,4.424413650254394,1861.069946,1863.62,1860.12,2.550053999999818,0.9499460000001818,4,1,>1.0
2021-11-22,short,-1,-1,1,-1,0.6759458701596767,0,0,0,-0.9174290117982982,0,11,4.181625314018067,1845.46997,1847.19995,1844.7399900000003,1.7299799999998413,0.7299799999998413,1,0,0.5-0.7
