date,ts,bias,sw_q,orb_hi,orb_lo,orb_rng,fvg_lo,fvg_hi,fvg_size,entry,sl,tp,sl_dist,atr,session_bar,win,exit_ts,mfe,mfe_r,dow,year
2025-03-04,2025-03-04 13:00:00+00:00,-1,bk,22869.919921875,22723.26953125,146.650390625,22568.400390625,22609.599609375,41.19921875,22441.009765625,22628.476330648155,22066.07663557869,187.46656502315454,125.84480848769736,4,False,8,120.708984375,0.6438960694675921,1,2025
2025-03-11,2025-03-11 15:00:00+00:00,-1,bk,22788.509765625,22630.599609375,157.91015625,22466.80078125,22510.279296875,43.478515625,22352.83984375,22534.888979924206,21988.741571401588,182.04913617420607,164.06455366137982,6,False,8,88.529296875,0.48629341910353663,1,2025
2025-03-14,2025-03-14 11:00:00+00:00,1,bk,22681.490234375,22465.119140625,216.37109375,22686.9609375,22869.1796875,182.21875,22944.23046875,22663.989375194433,23504.712655861134,280.2410935555672,153.1437487037772,2,False,8,105.25,0.37556947364370263,4,2025
2025-03-25,2025-03-25 11:00:00+00:00,1,bk,22980.58984375,22845.51953125,135.0703125,23005.01953125,23065.75,60.73046875,23159.990234375,22989.56376680178,23500.84316952144,170.42646757321927,103.03842965480642,2,False,8,22.7890625,0.13371785981663487,1,2025
2025-03-31,2025-03-31 10:00:00+00:00,-1,bk,22289.650390625,22160.859375,128.791015625,22138.359375,22194.98046875,56.62109375,21995.109375,22214.18105343875,21556.966018122497,219.0716784387514,128.00389792501383,2,False,8,16.6484375,0.07599538935679725,0,2025
2025-04-04,2025-04-04 10:00:00+00:00,-1,bk,21642.169921875,21378.560546875,263.609375,21210.9296875,21251.849609375,40.919921875,20611.6796875,21280.073702473215,19274.89165755357,668.3940149732152,188.1606206547619,2,False,8,174.310546875,0.2607901072872192,4,2025
2025-04-08,2025-04-08 12:00:00+00:00,1,bk,20178.23046875,19884.48046875,293.75,20095.359375,20192.849609375,97.490234375,20271.4296875,20043.472386312715,20727.34428987457,227.95730118728534,345.9132579152453,4,False,8,197.0,0.864196930626708,1,2025
2025-04-23,2025-04-23 14:00:00+00:00,1,bk,21837.5,21722.83984375,114.66015625,21828.4609375,21877.560546875,49.099609375,22005.390625,21808.644580189193,22398.882714621614,196.74604481080678,132.10904873870896,6,False,8,6.69921875,0.034050080937800015,2,2025
2025-04-24,2025-04-24 10:00:00+00:00,1,bk,21905.939453125,21750.23046875,155.708984375,21804.58984375,21854.5390625,49.94921875,21907.279296875,21786.29373437838,22149.250421868237,120.98556249661851,121.97406247745121,2,False,8,174.240234375,1.4401737759401658,3,2025
2025-04-30,2025-04-30 13:00:00+00:00,-1,bk,22607.3203125,22518.439453125,88.880859375,22364.330078125,22548.83984375,184.509765625,22252.55078125,22562.719272914776,21632.21379792045,310.1684916647755,92.52952776516909,5,False,8,6.30078125,0.020314059678278897,2,2025
