date,ts,bias,sw_q,a_hi,a_lo,a_rng,fvg_lo,fvg_hi,fvg_size,entry,sl,tp,sl_dist,atr,win,bars_held,exit_ts,mfe,mfe_r,dow,year
2022-04-20 00:00:00+00:00,2022-04-20 13:45:00+00:00,-1,clean_hi,41541.23,41229.96,311.2700000000041,41765.83,41970.0,204.16999999999825,41591.55,41996.481432769884,40781.68713446024,404.9314327698812,176.54288513254278,False,,2022-04-20 20:00:00+00:00,771.5500000000029,1.9053843133942818,2,2022
2022-04-21 00:00:00+00:00,2022-04-21 15:45:00+00:00,-1,clean_hi,41785.48,41320.47,465.01000000000204,42289.26,42451.16,161.90000000000146,42135.33,42477.963317817324,41450.06336436536,342.6333178173227,178.68878544879868,True,,2022-04-21 18:00:00+00:00,685.2666356346454,2.0,3,2022
2022-04-25 00:00:00+00:00,2022-04-25 11:30:00+00:00,1,clean_lo,39500.84,38590.0,910.8399999999965,38466.48,38666.45,199.9699999999939,38776.64,38439.981404964754,39449.95719007049,336.6585950352455,176.65730023497278,True,,2022-04-25 16:15:00+00:00,673.317190070491,2.0,0,2022
2022-05-11 00:00:00+00:00,2022-05-11 13:45:00+00:00,1,clean_lo,31888.85,30351.09,1537.7599999999984,30169.52,30380.0,210.47999999999956,31231.96,30073.68384351118,33548.51231297764,1158.2761564888206,638.9077099254906,False,,2022-05-11 17:00:00+00:00,768.0400000000009,0.6630888460384308,2,2022
2022-05-17 00:00:00+00:00,2022-05-17 14:45:00+00:00,-1,clean_hi,30544.8,29780.97,763.8299999999981,30120.0,30334.69,214.6899999999987,30066.01,30361.00741179977,29476.01517640046,294.9974117997699,175.44941199846525,True,,2022-05-17 18:15:00+00:00,589.9948235995398,2.0,1,2022
2022-06-15 00:00:00+00:00,2022-06-15 10:30:00+00:00,1,clean_lo,22297.37,20750.0,1547.369999999999,20325.3,20480.0,154.70000000000073,20650.72,20284.649950972445,21382.860098055113,366.0700490275558,271.00032685034904,True,,2022-06-15 12:15:00+00:00,732.1400980551116,2.0,2,2022
2022-06-27 00:00:00+00:00,2022-06-27 13:45:00+00:00,-1,clean_hi,21318.66,20926.01,392.65000000000146,20876.58,21220.0,343.41999999999825,20737.81,21235.863501455733,19741.702997088538,498.05350145573175,105.7566763715536,False,,2022-06-27 20:00:00+00:00,227.8100000000013,0.45740065943547964,0,2022
2022-07-13 00:00:00+00:00,2022-07-13 12:45:00+00:00,-1,clean_hi,19582.51,19265.4,317.10999999999694,19253.02,19682.86,429.84000000000015,19165.01,19711.43409145739,18072.161817085213,546.4240914573929,190.49394304927543,False,,2022-07-13 17:00:00+00:00,247.75,0.4534024100936226,2,2022
2022-08-26 00:00:00+00:00,2022-08-26 12:45:00+00:00,1,clean_lo,21614.89,21343.01,271.880000000001,21297.98,21497.83,199.85000000000218,21639.79,21282.22227190726,22354.925456185483,357.56772809274116,105.05152061827054,False,,2022-08-26 14:30:00+00:00,246.97999999999956,0.6907222900606432,4,2022
2022-08-30 00:00:00+00:00,2022-08-30 14:45:00+00:00,-1,clean_hi,20548.0,20110.0,438.0,19866.89,20078.1,211.20999999999913,19832.03,20092.877705327395,19310.334589345206,260.8477053273964,98.51803551598344,False,,2022-08-30 19:15:00+00:00,292.02999999999884,1.119542146761325,1,2022
2022-10-13 00:00:00+00:00,2022-10-13 15:30:00+00:00,1,clean_lo,19175.13,19017.8,157.33000000000175,18594.53,18785.09,190.5600000000013,18945.03,18572.967445241742,19689.155109516512,372.06255475825674,143.75036505503888,False,,2022-10-13 20:00:00+00:00,568.760000000002,1.528667673557064,3,2022
2022-12-13 00:00:00+00:00,2022-12-13 10:00:00+00:00,1,clean_lo,17238.7,17119.02,119.68000000000029,17206.7,17357.74,151.04000000000087,17414.14,17198.589414916998,17845.241170166002,215.55058508300135,54.070567220016656,True,,2022-12-13 13:30:00+00:00,431.1011701660027,2.0,1,2022
2023-02-14 00:00:00+00:00,2023-02-14 15:00:00+00:00,1,clean_lo,21816.62,21677.47,139.14999999999782,21743.43,22171.76,428.3299999999981,22285.08,21725.784778109177,23403.67044378165,559.2952218908249,117.63481260548076,False,,2023-02-14 20:00:00+00:00,24.919999999998254,0.044556075261559566,1,2023
2023-05-10 00:00:00+00:00,2023-05-10 12:45:00+00:00,1,clean_lo,27849.94,27580.0,269.9399999999987,27775.92,27996.18,220.26000000000204,28175.28,27763.410965556315,28999.018068887366,411.86903444368363,83.39356295789207,False,,2023-05-10 17:15:00+00:00,156.13999999999942,0.37910109025530303,2,2023
2023-07-06 00:00:00+00:00,2023-07-06 12:00:00+00:00,-1,clean_hi,30730.0,30327.0,403.0,30887.1,31070.0,182.90000000000146,30749.86,31091.001972216778,30067.576055566446,341.1419722167775,140.01314811186037,True,,2023-07-06 14:15:00+00:00,682.283944433555,2.0,3,2023
2023-07-20 00:00:00+00:00,2023-07-20 14:45:00+00:00,-1,clean_hi,30197.36,29881.29,316.0699999999997,29863.34,30101.01,237.66999999999825,29782.19,30114.800899784696,29116.968200430605,332.6108997846968,91.9393318979737,False,,2023-07-20 20:00:00+00:00,211.22999999999956,0.6350663797750806,3,2023
2023-08-29 00:00:00+00:00,2023-08-29 14:30:00+00:00,1,clean_lo,26206.24,26005.0,201.2400000000016,26237.0,26916.18,679.1800000000003,27547.95,26213.10460189641,30217.64079620718,1334.845398103589,159.30265402391137,False,,2023-08-29 20:00:00+00:00,594.8999999999978,0.4456695890364311,1,2023
2024-01-19 00:00:00+00:00,2024-01-19 14:30:00+00:00,-1,clean_hi,41522.41,40752.26,770.1500000000015,41118.05,41284.33,166.27999999999884,40929.53,41303.9151019322,40180.75979613559,374.3851019322028,130.567346214677,False,,2024-01-19 18:15:00+00:00,649.5299999999988,1.7349248050944661,4,2024
